good morning 1962,yasujiro ozu,"drama, comedy, family"
newtown 2016,kim a. snyder,documentary
poetry 2011,chang-dong lee,drama
restless creature: wendy whelan 2017,"adam schlesinger, linda saffire",documentary
birdman or (the unexpected virtue of ignorance) 2014,alejandro gonzález iñárritu,"drama, comedy"
little women 1994,gillian armstrong,"drama, romance, family"
aftershock 2022,"paula eiselt, tonya lewis lee",documentary
shakespeare in love 1998,john madden,"drama, comedy, romance"
the awful truth 1937,leo mccarey,"comedy, romance"
can you ever forgive me? 2018,marielle heller,"biography, drama, comedy, crime"
wolfwalkers 2020,"ross stewart, tomm moore","adventure, fantasy, animation, family"
it happened one night 1934,frank capra,"comedy, romance"
the body remembers when the world broke open 2019,"elle-máijá tailfeathers, kathleen hepburn",drama
the missing picture 2013,rithy panh,documentary
"i travel because i have to, i come back because i love you 2011","karim ainouz, marcelo gomes",drama
the invisible man 1933,james whale,"sci-fi, horror"
scarface 1932,"howard hawks, richard rosson","action, drama, thriller, crime, film-noir"
of men and war 2015,laurent bécue-renard,"history, war, documentary"
the long goodbye 1973,robert altman,"drama, mystery, thriller, comedy, crime"
she wore a yellow ribbon 1949,john ford,western
imitation of life 1959,douglas sirk,drama
pain and glory 2019,pedro almodóvar,drama
genèse (genesis) 2019,philippe lesage,drama
the farthest 2017,emer reynolds,"history, documentary"
gomorrah 2009,matteo garrone,"drama, crime"
days 2021,ming-liang tsai,drama
who we are: a chronicle of racism in america 2022,"emily kunstler, sarah kunstler",documentary
to be and to have 2003,nicolas philibert,"family, documentary"
a night of knowing nothing 2022,payal kapadia,documentary
halloween 1978,john carpenter,"thriller, horror"
eraserhead 1978,david lynch,horror
the velvet underground 2021,todd haynes,"music, documentary"
medium cool 1969,haskell wexler,drama
attica 2021,stanley nelson,documentary
can you bring it: bill t. jones and d-man in the waters 2021,"rosalynde leblanc, tom hurwitz",documentary
alcarràs,carla simón,drama
fire at sea 2016,gianfranco rosi,documentary
the fugitive 1993,andrew davis,"action, drama, mystery, thriller, crime"
f for fake 1975,"françois reichenbach, gary graver, oja kodar, orson welles",documentary
about elly (2009) 2015,asghar farhadi,"drama, mystery"
the bridge on the river kwai 1957,david lean,"adventure, drama, war"
goldfinger 1965,guy hamilton,"action, adventure, thriller"
ma rainey's black bottom 2020,george c. wolfe,"drama, music"
one false move 1992,carl franklin,"drama, crime"
